epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6326,1.78665,3.0989,1.80436,0.92817,0.18758,0.52677,0.22071,1.74915,2.62172,1.8186,0.00054409,0.00054409,0.00054409
2,20.1132,1.79806,2.47591,1.79334,0.38767,0.55529,0.34291,0.10696,2.26133,3.69814,2.48482,0.00106346,0.00106346,0.00106346
3,26.6362,1.81211,2.15095,1.74444,0.32157,0.4944,0.32675,0.12383,2.28245,5.06762,2.44978,0.00154617,0.00154617,0.00154617
4,31.1559,1.78671,2.0552,1.71964,0.36848,0.37254,0.2722,0.11238,1.93084,4.39989,2.20929,0.00150197,0.00150197,0.00150197
5,36.6129,1.77633,1.9077,1.73068,0.37469,0.5533,0.30089,0.11415,1.9872,2.76373,2.10525,0.00144696,0.00144696,0.00144696
6,45.7949,1.74659,1.76853,1.73446,0.63077,0.54646,0.56012,0.25626,1.88284,1.75617,1.94361,0.00139195,0.00139195,0.00139195
7,54.9117,1.71811,1.7175,1.69994,0.74406,0.59278,0.68017,0.32773,1.81953,1.55213,1.85705,0.00133693,0.00133693,0.00133693
8,63.974,1.6693,1.58116,1.63716,0.65326,0.66739,0.67414,0.34735,1.68346,1.50978,1.76352,0.00128192,0.00128192,0.00128192
9,71.3627,1.64942,1.47521,1.62645,0.78918,0.6576,0.7129,0.36671,1.72696,1.24945,1.79414,0.00122691,0.00122691,0.00122691
10,76.0035,1.63554,1.44078,1.62814,0.83532,0.67802,0.76953,0.42043,1.62576,1.24619,1.71367,0.0011719,0.0011719,0.0011719
11,80.5007,1.62382,1.38237,1.6141,0.82735,0.68695,0.7945,0.41511,1.70178,1.18629,1.73098,0.00111689,0.00111689,0.00111689
12,84.9119,1.62674,1.36896,1.63241,0.81864,0.64614,0.75739,0.36852,1.85479,1.26146,1.83547,0.00106188,0.00106188,0.00106188
13,91.2249,1.59134,1.30513,1.58312,0.87913,0.68665,0.83116,0.46126,1.64604,1.09337,1.68418,0.00100687,0.00100687,0.00100687
14,100.773,1.56915,1.24803,1.54211,0.77983,0.81463,0.85169,0.47122,1.63551,1.07571,1.65432,0.000951857,0.000951857,0.000951857
15,110.011,1.54938,1.17534,1.55691,0.92113,0.74303,0.86586,0.50004,1.57594,0.99067,1.59458,0.000896846,0.000896846,0.000896846
16,119.412,1.47064,1.133,1.49244,0.85309,0.81541,0.87932,0.49895,1.67972,0.96537,1.65524,0.000841835,0.000841835,0.000841835
17,130.263,1.47543,1.10208,1.49625,0.79448,0.85201,0.88658,0.52137,1.62516,0.89911,1.61672,0.000786824,0.000786824,0.000786824
18,139.396,1.48496,1.10794,1.51375,0.94747,0.73954,0.87951,0.49176,1.64002,0.95052,1.65008,0.000731813,0.000731813,0.000731813
19,149.296,1.44605,1.10484,1.48149,0.86418,0.80778,0.87799,0.43598,1.92518,1.00479,1.80644,0.000676802,0.000676802,0.000676802
20,160.579,1.4729,1.08519,1.49531,0.8953,0.82988,0.91493,0.51914,1.61259,0.8766,1.62837,0.000621791,0.000621791,0.000621791
21,186.069,1.5471,0.93604,1.59115,0.87592,0.84399,0.92325,0.52188,1.6539,0.89751,1.64482,0.00056678,0.00056678,0.00056678
22,195.184,1.45991,0.88602,1.516,0.87656,0.81451,0.89525,0.51997,1.65851,0.87,1.63861,0.000511769,0.000511769,0.000511769
23,204.034,1.42064,0.84652,1.48502,0.89782,0.85704,0.91469,0.53226,1.63461,0.81583,1.62161,0.000456758,0.000456758,0.000456758
24,215.573,1.40848,0.80348,1.47974,0.93571,0.84776,0.94657,0.56231,1.57288,0.79419,1.57752,0.000401747,0.000401747,0.000401747
25,224.409,1.36038,0.76108,1.4482,0.92352,0.85425,0.9307,0.53852,1.69526,0.78493,1.65358,0.000346736,0.000346736,0.000346736
26,232.917,1.36008,0.72964,1.417,0.89386,0.86862,0.91716,0.55442,1.67742,0.75757,1.6249,0.000291725,0.000291725,0.000291725
27,241.063,1.31512,0.70416,1.40228,0.87119,0.92471,0.93566,0.57008,1.60725,0.74164,1.56953,0.000236714,0.000236714,0.000236714
28,245.43,1.30853,0.71014,1.40189,0.88248,0.911,0.92588,0.54231,1.69173,0.77026,1.63722,0.000181703,0.000181703,0.000181703
29,249.82,1.2832,0.69653,1.3859,0.93571,0.92683,0.94435,0.57716,1.59509,0.71118,1.58006,0.000126692,0.000126692,0.000126692
30,254.092,1.25787,0.66647,1.35892,0.92345,0.91357,0.94165,0.58612,1.58337,0.69774,1.56331,7.1681e-05,7.1681e-05,7.1681e-05
